index,label,drift,s_5,s_10,s_20,s_50
370,NORMAL,1.418288,0.000000,0.200000,0.150000,0.220000
371,NORMAL,1.412070,0.000000,0.000000,0.050000,0.120000
372,NORMAL,1.429699,0.200000,0.200000,0.100000,0.180000
373,NORMAL,1.419379,0.000000,0.200000,0.200000,0.180000
374,NORMAL,1.417215,0.000000,0.000000,0.100000,0.240000
375,NORMAL,1.412856,0.000000,0.100000,0.100000,0.180000
376,NORMAL,1.402795,0.000000,0.000000,0.000000,0.220000
377,NORMAL,1.441032,0.200000,0.200000,0.300000,0.300000
378,NORMAL,1.407367,0.200000,0.200000,0.150000,0.260000
379,NORMAL,1.397122,0.000000,0.000000,0.200000,0.220000
380,NORMAL,1.411399,0.400000,0.200000,0.250000,0.260000
381,NORMAL,1.321408,0.200000,0.100000,0.050000,0.120000
382,NORMAL,1.441650,0.000000,0.000000,0.100000,0.220000
383,NORMAL,1.433464,0.000000,0.000000,0.150000,0.260000
384,NORMAL,1.404659,0.000000,0.000000,0.150000,0.160000
385,NORMAL,1.403469,0.000000,0.000000,0.100000,0.200000
386,NORMAL,1.440534,0.200000,0.100000,0.050000,0.160000
387,NORMAL,1.405487,0.000000,0.000000,0.000000,0.160000
388,NORMAL,1.400325,0.000000,0.000000,0.000000,0.060000
389,NORMAL,1.429416,0.000000,0.000000,0.050000,0.060000
390,NORMAL,1.411680,0.400000,0.300000,0.400000,0.440000
391,NORMAL,1.387406,0.400000,0.200000,0.150000,0.140000
392,NORMAL,1.429690,0.200000,0.200000,0.200000,0.240000
393,NORMAL,1.397230,0.000000,0.200000,0.250000,0.300000
394,NORMAL,1.375834,0.000000,0.000000,0.100000,0.180000
395,NORMAL,1.421046,0.000000,0.200000,0.100000,0.260000
396,NORMAL,1.398141,0.000000,0.100000,0.200000,0.220000
397,NORMAL,1.380820,0.000000,0.000000,0.100000,0.200000
398,NORMAL,1.402662,0.200000,0.100000,0.050000,0.060000
399,NORMAL,1.390990,0.200000,0.200000,0.100000,0.220000
400,NORMAL,1.402067,0.200000,0.100000,0.150000,0.280000
401,NORMAL,1.435622,0.000000,0.100000,0.100000,0.180000
402,NORMAL,1.426488,0.000000,0.000000,0.050000,0.120000
403,NORMAL,1.437741,0.600000,0.300000,0.250000,0.260000
404,NORMAL,1.415841,0.000000,0.000000,0.050000,0.240000
405,NORMAL,1.423824,0.000000,0.000000,0.000000,0.140000
406,NORMAL,1.397862,0.000000,0.000000,0.000000,0.060000
407,NORMAL,1.406160,0.000000,0.000000,0.050000,0.180000
408,NORMAL,1.393909,0.000000,0.100000,0.050000,0.140000
409,NORMAL,1.370068,0.000000,0.200000,0.150000,0.200000
410,NORMAL,1.417078,0.000000,0.100000,0.200000,0.300000
411,NORMAL,1.424519,0.000000,0.300000,0.250000,0.280000
412,NORMAL,1.431990,0.000000,0.000000,0.150000,0.160000
413,NORMAL,1.396217,0.000000,0.000000,0.050000,0.040000
414,NORMAL,1.387379,0.000000,0.100000,0.050000,0.220000
415,NORMAL,1.427444,0.000000,0.100000,0.150000,0.200000
416,NORMAL,1.430587,0.200000,0.100000,0.100000,0.180000
417,NORMAL,1.359960,0.200000,0.100000,0.100000,0.180000
